issue,system,classification,terminal_stage,terminal_status_or_reason,biological_response_access,counts_as_predictive_evidence
289,Azores yellow eel telemetry,predictive_result,paired_predictive_test,favorable_complementary_added_value,once_only_predictive_response,True
292,Southwest Louisiana King Rail,predictive_result,paired_predictive_test,favorable_complementary_added_value,once_only_predictive_response,True
293,Bodie American pika,scientific_protocol_stop,geometry_registry,frozen 82-patch geometry not reproducible response-independently,none,False
294,Åland Glanville fritillary,scientific_protocol_stop,temporal_registry,historical dynamic patch universe not identifiable from Patch data without response-bearing Locality Visit rows,none,False
295,Fukushima wild boar,scientific_protocol_stop,source_transport,audited public JaLTER source transport unavailable from validation runtime,none,False
296,,administrative_exclusion,administrative,accidental placeholder; not a scientific candidate,not_applicable,False
297,Snapshot Japan sika deer,scientific_protocol_stop,response_header,prospectively frozen exact sequence header mismatched three physical spellings; post-result alias repair forbidden,header_only,False
298,Guam Brown Treesnake,scientific_protocol_stop,geometry_registry,trap effort lacked an individual two-dimensional registry adequate for frozen structural worlds,none,False
299,White Mountain National Forest camera traps,scientific_protocol_stop,response_linkage,response linkage to site/time required a prospectively forbidden media table,none,False
300,,administrative_exclusion,administrative,duplicate White Mountain candidate; not an additional scientific denominator unit,not_applicable,False
301,Maine moose camera traps,scientific_protocol_stop,publication_registry_reproduction,public response-independent camera registry did not reproduce the paper-defined 84-camera universe,none,False
302,Green Mountain American marten,scientific_protocol_stop,publication_registry_reproduction,paper-defined camera universe not reproduced response-independently,none,False
303,Cuban Treefrog acoustic monitoring,scientific_protocol_stop,response_linkage,response linkage to site/time required a prospectively forbidden media table,none,False
304,Vermont American marten,scientific_protocol_stop,surveyed_negative_semantics,direct search-list membership required for defensible recorded absence was not identifiable response-independently,none,False
305,Willamette northern red-legged frog,scientific_protocol_stop,physical_source_separation,site/survey/response information was inseparable in the released workbook,none,False
306,NEON forest coyote,scientific_protocol_stop,temporal_context_estimability,frozen minimum of 30 subproject-year contexts exceeded the complete response-independent registry of 19 contexts,none,False
307,Snapshot USA white-tailed deer,scientific_protocol_stop,source_transport,current individual Dryad deployment transport unavailable before deployment bytes,none,False
308,Peneda-Gerês roe deer,scientific_protocol_stop,publication_registry_reproduction,prospectively frozen 64-grid identity not reproduced response-independently,none,False
309,Elwha black-tailed deer,scientific_protocol_stop,physical_source_separation,station registry was inseparable from daily response,none,False
310,Mount St. Helens prairie lupine,scientific_protocol_stop,temporal_registry,survey calendar was not identifiable from response-independent plot descriptors,none,False
311,BBS Northern Bobwhite,scientific_protocol_stop,bounded_archive_transport,ScienceBase returned HTTP 200 rather than required 206 to the frozen EOCD Range request; response body was not opened,none,False
314,Portal Project Merriam's kangaroo rat,scientific_protocol_stop,response_independent_calendar_value,the prospectively strict moon-calendar parser encountered period=NA before any capture-response access; the attempt was not repaired,none,False
315,H.J. Andrews California red-backed vole,scientific_protocol_stop,source_transport,the exact EML online byte URLs for response-independent effort entity 5 and geometry entity 10 returned HTTP 404 after HTTPS redirect,none,False
327,MICA muskrat camera monitoring,scientific_protocol_stop,source_transport,"body-free HEAD on the prospectively frozen IPT archive did not provide a positive Content-Length, so no bounded Range request was authorized",none,False
331,Illinois statewide coyote camera monitoring,scientific_protocol_stop,metadata_identity_or_transport,"the prospectively frozen Dryad metadata parser required an integer current-version id; the observed current-version metadata object did not satisfy that contract, and the attempt was not repaired",none,False
335,Soutpansberg leopard repeated camera surveys,scientific_protocol_stop,response_blind_zip_inventory,bounded ZIP metadata reproduced only 23 of the prospectively required 24 deployment survey members; deployment_s03 was absent and the attempt was not repaired or reduced to a 23-survey endpoint,none,False
340,Loomis State Forest snowshoe hare camera monitoring,scientific_protocol_stop,response_blind_physical_header_schema,"deployment_2022.csv first physical header contained duplicate column names under the prospectively frozen Stage1A rule; the attempt was not deduplicated, remapped or continued",none,False
348,Australian southern cassowary campaign-heldout camera monitoring,scientific_protocol_stop,metadata_identity_or_transport,the prospectively frozen publication-linked Figshare file id 51265058 occurred zero times in the live article metadata; the attempt was not repaired by selecting a different current file,none,False
353,Norway national passive acoustic monitoring — Willow Warbler,scientific_protocol_stop,metadata_identity_or_interface,the prospectively frozen Zenodo archive entry did not expose a non-empty links.content field under the frozen Gate0 metadata contract; the attempt was not repaired by schema aliasing or source substitution,none,False
